web-scraper-order,USERNAME,RATING,REVIEW,TIME,COUNT THE PEOPLE WHO LIKED THE REVIEW
1743116909-27,DS,4.8,"It's definitely not 4 stars hotel, like app mentions. I would like to say it is 2 or 3 stars hotel. Traveloka please review this hotel to give current situation of this hotel. The bed was small for executive suite. The room is old and less maintenance. Lights in the room were so poor and mosquitoes came inside the room that's annoying. The bathroom was dirty. I got dirty towel and wet bath mat. The towel so stinky smell like cockroach. Shower head didn't work. The floor in the bathtub area was broken and dirty. I booked for 2 nights in the executive suite, but I would like to say, this hotel has really bad executive suite. All the pictures in app were old, current hotel condition is so bad. My booking was including breakfast. However, I didn't take the breakfast because when I walked passing by the kitchen its door was open and I could see the kitchen was so dirty. Every time I walked by the kitchen I smell so stinky like sewage that's why I didn't take my free breakfast. This hotel doesn't have proper parking area. I really don't recommend to stay in this hotel with executive suite. I felt I got scammed as the picture and the real hotel situation is by far different. I feel really disappointed.",2024-01-23,7
1743116909-29,Senja A. N.,8.5,"Clean rooms, strategic location and friendly staff.",2024-01-07,0
1743116909-31,FA,9.4,"Good stay. First of all, it's clean. The taps' metals are all shiny, meaning they're adequately scrubbed. The sheets are clean. The room floor shiny.👍. I don't know for sure but I'm guessing this was a more luxurious hotel in the past. The amenities are better than its price range. It has a work desk. It has an outdoor bath tub which is novel. It has a couch. Good stuffs 👍. Some reviews did mention it's not clean enough, but I disagree. At least judging by my experience. Those reviews are not entirely wrong, but it does miss a point. As I said, this was probably a more luxurious hotel in the past, which is why I can understand that those luxury parts are not well maintained. That outdoor bathtub, the floor is wooden so it broke in some places. It's fine. They're places where you won't access anyway if you're a normal joe. But make sure you close the door properly, otherwise mosquitos can come in. To be fair to the hotel guys, they did put a huge warning, though not easily understood. So that's it. Just don't open the outdoor bath tub and you'll be fine. I never used the bathtub because the shower and toilet are more than enough. When you do use the bathtub, close the glass door immediately. One of the best things about this hotel is its location. Just cross the road and it's Bali Galeria Mall. Very close to Kuta, you can walk if you want to (though most people won't, but I did). Local tourists can also take solace that there's a Kapau restaurant nearby.",2023-10-22,6
1743116909-32,sahrianti,9.4,"Really Love this Hotel and the room is so beautiful, I will stay here again when Visit Bali.",2023-09-28,1
1743116909-33,CS,8.5,"They not answered of 2 emails! The stuff was very friendly and helpful. The hotel is not really in shape, because you see it 's old. At all it was OK, but can be much better (like the Photo 's from internet).",2023-09-20,1
1743116909-34,MI,8.5,"The interior is great, sadly poor maintained: (.",2023-09-15,1
1743116909-36,Yesaya A. S.,8.7,"View ok, room service ok, staff was ok. The one should be improved is food. It had bland taste. Some equipment like hair dryer was broke, so I couldn't use it. But overall, I'm satisfied with the service",2023-07-15,6
1743116909-37,Freddy G.,6.0,Smelly bed sheet. Not recommended.,2023-06-02,2
1743116909-38,PN,9.7,"Had the most pleasant experience here, staff was so nice (P. S the room is not smelly, but rather the smell of the aroma coming from the wicker because most of the room interiors are made of wood and wicker).",2023-06-01,3
1743116909-39,SW,9.1,"Room too dark, some functions can't work, but not bad for that price, thanks.",2023-05-30,1
1743116909-41,PK,8.4,"Spacious room, clean and neat, worth the money.",2023-04-21,2
1743116909-42,TB,9.0,The staffs are good and the interior design of the room is modern and very beautiful. The only problem is that the room is not that clean specially the toilet because its dirty and will even think twice before seating on it. I hope that the owner/manager will always check the cleanliness. Not sure if I'm the only one who noticed that most 3-4 Star hotels in Bali really got a dirty toilet. Maybe a proper training is needed or maybe for them the toilet is already clean and might have a different standard.,2023-04-18,3
1743116909-43,as,8.5,A great hotel and good price also close to a big mall,2023-03-29,7
1743116909-45,A,8.8,Strategic location. Great interior. Nice cold room. TV picture not good.,2023-01-27,7
1743116909-48,AS,8.3,"Great for value of money, need more detail into cleanliness, room too dark for my preference due the wall dark also.",2022-11-06,1
1743116909-49,Fanni M.,8.7,It ' s an old hotel. Good deal with the price and locations.,2022-11-04,8
1743116909-50,AL,5.8,"The room is very dirty, some of the wood floor is broken, the room looks like don't have a maintenance for a long time.",2022-11-02,1
1743116909-51,MP,8.4,"So far the room is nice and spacious, happy they upgarde our room category, bed is nice, unfortunatelly the room is not soundproof, I can still hear the street noise when sleep, also the breakfast not to much choice, many food are empty, wrong food tag mentioned at each food, the dessert * bubur merah*its to sweet: (.",2022-10-31,3
1743116909-53,AA,5.8,Not committed to special requests.,2022-08-20,3
1743116909-54,YK,8.7,Positive: Huge room and just clean room. Negative: there wasn't phone in the room incase any request or emergency its quite dangerous for guest! Torn Bed and pillow sheet. I think this hotel should start to do regular maintanance.,2022-05-15,7
1743116909-55,TR,8.5,"It's in the heart of Denpasar so I liked the location, but if you're someone with fancy lifestyle, you probably don't want to stay here as everything in this hotel is just basic. The room was spacious tho! Overall, it's a so-so experience.",2022-05-13,4
1743116909-57,dh,8.5,". Nice staycation. Nice room, comfort with bathtub. Friendly staff. Only one problem occurred, bad signal on TV chanel. Over all excellent. Thanks.",2022-02-07,4
1743116909-58,P,5.1,"Stay there for 1 night, but it was terrible. The housekeeping staff knocked my door once and just opened it directly at 11.30 am but we already knew the check-out time will be at 12 noon. I called the front office and told her what happended there and the e-Com Manager Ms. Puput who were incharge at front office said it happended due to miss communication between the previous shift which handled by security. Most of the hotel will knock the door 3 times before open it, but in here it wasn't happended. I stayed at 404 and I really need the management to take and review your team as well.",2022-01-09,7
1743116909-61,DP,5.8,"The AC was not working properly, the temperature was not cold at all even though I've set it to 16 degree. There were no amenities available. The phone was not working so I have to went to the front office directly every time I needed something and also the water has this yellowish color. On a good side, the room is luxury and the Wi-Fi was working well.",2021-08-29,4
1743116909-62,Rita S.,6.0,"In the room without acc about bath like toothbrush, tootpaste, body soap. So sad ☹️",2021-07-11,2
1743116909-63,BK,9.4,Good hotel? Got it at special price.,2021-06-24,6
1743116909-64,TR,8.8,The room was spacious and the bed was comfortable. I like the bathroom & bathtub. The staff was friendly and helpful. The water was sometimes smelly though. Definitely will stay here again if I come to Bali for business purposes.,2021-06-19,9
1743116909-65,Vanny,9.4,"Location near the airport about 15 minutes with no traffic. Nice room with a wooden theme. The bathroom is awesome, it's separated from the bedroom with a sliding wooden door.",2021-06-08,3
1743116909-66,Kurniawan,9.1,"Nice and clean room, however too loud ‘cause near the main road also dog barking (neighbors)",2021-05-16,2
1743116909-67,DJ,6.0,"The room was not clean. So many stain in the bathroom, and I think the bed was dirty too. So my friend and I decide to move to another hotel.",2021-05-01,1
1743116909-68,RR,10.0,"Awesome,good hotel and staff.",2021-04-06,1
1743116909-70,K,8.5,This is perfect and luxurious hotel. But unfortunetly the hot water is not working. This corona time. Make some utilities is not working. Like the spa was closed. The gym. Hopefully thiz hotel still stand until corona is over. So everything will back normal ASAP. And would come to recomend this hotel to others. And come again.,2021-01-25,5
1743116909-71,YW,9.7,"I very comfortable stay here, loved it..",2021-01-05,0
1743116909-73,Kinanthi H.,5.2,"The room was very dirty, noisy from the curtain every second, need more light. The towel smell wasn’t good. Dirty toilet and wastafel. Ant was everywhere. I booked deluxe room, they said it upgraded to executive room, but that’s all that I got.",2020-12-25,1
1743116909-74,FD,6.2,"Cockroach and insect flies in bedroom, not clean. Cleaning service not ready on call. Can't negotiate for change the room.",2020-12-23,3
1743116909-75,PE,5.7,"When I arrived at this hotel I was shook. Started from the lobby, I felt something quite strange. I felt like I was manipulated with the photos on app. Let me explain why. The hotel was thoroughly different from what I saw on app. The vibes clearly not Bali vibes. You have to think twice before you choose this hotel. Started from the room, I can tell that the room is superior from the average hotel’s room in Bali but the room was more like “left behind”. The water was not using the PDAM and it made the water not-so-clean. I can taste the water when I brush my teeth, the water is a little bit salty and has yellow-color also smell so bad. I felt extremely disappointed. The pool was also dirty, the water was not crystal clear like what I saw on the app. The only thing that nice was the room service and house keeper. I really could not imagine if you guys stay here for holiday, especially for a very long time.",2020-12-18,5
1743116909-77,Dedi J.,6.3,"The room was good, this is my third visit. However the food breakfast quality is poor and the server not even taking care of the guest.",2020-12-03,2
1743116909-79,Nanda F. S.,8.5,"Very comfy, good environment, nice place, near of mall and so many food place near here. Awesome place.",2020-11-04,0
1743116909-81,Muhammad Z. I.,9.7,"perfect timing for check in, no need more time for waiting to get rest.",2020-08-23,0
1743116909-83,PS,8.5,"Enjoy and good room,staff frendly",2020-07-14,3
1743116909-84,IS,8.5,nice room. I love it so much,2020-04-21,1
1743116909-86,AT,6.2,"Old hotel, cleanness not so good, low maintenance service, room is too dark. Plus point is they have huge bathroom",2020-03-05,3
1743116909-87,IK,8.8,"What a great stays during vacation in Bali. With strategic location it was so easy to going around Denpasar and find 24H minimarket. Breakfast was good even though sometimes they didn't refill it. The pool quite big and clean. The room was great, clean , spacious. With the TV on the bathtub I really enjoy spending time laying around..",2020-03-05,2
1743116909-88,TS,4.5,"Regret to take fake discount for this kind of hotel Looks good on pictures, horrible on building maintenance. Old air conditioning Leaking hand bidet that already rusted how come they so stingy to change hand bidet? Ridiculous washtafel That only good things only the size of the room but Unfortunately the rooms isn’t sound proof Since the hotel was in front of main street You still can hear clearly noise from outside until morning And the second night stay their staff hang out drink bintang and smoking in the restaurant that the position is exactly next to main lobby So the lobby full of smoke! Have no idea who manage this hotel. Disgusting",2020-02-19,7
1743116909-89,RH,8.5,great hotel for stay in bali,2020-02-13,1
1743116909-92,AK,7.0,best trip awesome fun very good staff love the pool,2020-02-02,1
1743116909-93,EA,9.6,"Good service, clean, worth it but the room like exclusive",2020-02-01,4
1743116909-94,Angelisa R. S.,10.0,the best places for holiday and honeymoon.. 😍,2020-01-25,0
1743116909-95,LISA N.,9.1,"Nice room, perfect bathroom with nice bathtub. Good price too. I love to stay here ❤️❤️❤️",2020-01-21,0
1743116909-96,EJ,9.4,"I got the room for a very affordable price! the staff was nice, the food was fine, the room is clean including the comfort room. I just think the sink needs replacing as it has many cracks and looks dirty.",2020-01-21,1
1743116909-98,RI,8.5,"As good as always. Watch tv while take a bath, they know how to have fun. Good breakfast",2020-01-19,2
1743116909-100,NS,5.9,"They upgraded our room to junior suite (they said). It was located beside the road and very noisy. We couldn't really had good rest there. Bathroom layout was not good. Warm water not stable. Bath tub located at balcony with insufficient partition. So, anyone from the road might see you naked in the bath tub. I planned to enjoy my time inside bath tub but ended up with fully dressed inside bath tub because I was too afraid someone could see me inside. Services also not really good. We need nail clipper and called to room service, they throw us to front office then the front office said we must ask to spa services. But there were no one at spa services. When we arrived, we asked the security where to park, because we couldn't access the lobby with car (fully parked with lots of cars). Then he directed us with angry face and just keep blew the whistle. Then just left us alone with our luggages without any care to help us bring the luggages or at least asked us if we need some help. Because we had hassles with sleeping son in my hand. When you claim 4 stars property, you really need to re-trained all your staffs to act properly and help your guests. Le2 despite those all bad experience, we enjoyed the breakfast. They had variation menu and it tasted good.",2020-01-05,7
1743116909-101,RC,5.5,"I booked a room in this hotel for 3 nights as it was close to my client's office. However, I was unpleasantly surprised as the room is located on the 2nd floor which is basically a basement, as their lobby (street level) is on the 3rd floor. I was surprised as the hotel didn't provide that information on the app. Due to being in a basement with no direct sunlight and good air circulation, I was having allergic reactions (runny nose, cough) and was not able to sleep the 1st night. So I decided to booked at another hotel for the rest of my business trip in Bali. Tried to shorten my stay and get a refund (at least for the 3rd night), but the hotel declined. At least I had a good rest after moving out.",2020-01-01,2
1743116909-103,IL,8.5,"All good, except the receptionist woman is too lazy to help",2019-12-29,2
1743116909-104,Jansen M.,8.5,satisfied... wonderful... cheap but fully service,2019-12-26,2
1743116909-107,GHINA L. A. P.,10.0,"This accommodation is perfect for honeymoon or family gateways. It's located on Simpang siur, Jalan By Pass Ngurah Rai near Mall Bali Galeria. In love with their room and swimming pool 😍 Last but not least, their breakfast menu is very varied and very tasty. Very recommended!! Will come back soon",2019-12-23,2
1743116909-110,AZ,8.5,all are good. everything was perfect.,2019-12-15,0
1743116909-113,Yp,9.7,"we stayed in this hotel just for 1night, because we had to see NOAH's concert at Bosche vvip club. This hotel offered a good rate, a special rate actually. And we got a huge room with double bed, bathtub, refrigerator, etc. It was a quiet room at the 2nd floor (208). But a little bit noisy in the morning, because of the water pump machine. We ignored that sounds, because we were so sleepy at that time 'till we woke up and had a breakfast. Everything was perfect, worth enough, and amazing. Thank you for your hospitality, we recommend this hotel, and would like to come back again next time.",2019-12-06,1
1743116909-114,IM,9.7,"I was upgraded to executive room.. the room is spacious. food is good from egg station, milk, porridge, fruits etc. Location is good",2019-12-04,1
1743116909-117,AT,8.8,"This is one of the best hotel i've tried for a very very cheap price. Very nice ambience, romantic room, wonderful bathroom. Staff are helpful and friendly",2019-11-14,3
1743116909-119,AG,6.2,This hotel is below my expectations. Need much renovation. Need some more parking lit space. Breakfast was average.,2019-11-09,3
1743116909-120,IR,10.0,"such a good and romantic place to stay, love it!",2019-11-09,3
1743116909-125,Agung R. U.,8.5,The room is big! Bathtub was great. The swimming pool also great. The breakfast just standard. Cons: the location a little bit far away from the beach and the room was old,2019-11-03,3
1743116909-126,SS,8.3,"We’ve got an upgrade from deluxe to junior suite but unfortunately we can’t check in until 3 PM, just because there’s a bunch group of people that suddenly came and they’re so hectic, but actually me and my husband came earlier than the large group, but somehow the staff put the group first. Then at 3pm we checked in, the room was not too big unfortunately the bathtub is in the outside of the room, so it’s kinda hot and scary, because there’s many insects and also lizards, and one thing I didn’t like is the toilet is inside the shower room, and when I ask for bath foam, I asked 4 pieces but instead of giving me 4, they give me only 2, I think that’s reasonable because me and my hubby are spent 2 nights there. but the bed is quite comfy, the AC was good, the TV quite big. Nice experience.",2019-11-01,1
1743116909-128,WL,8.4,All is good :) the room is so nice and big room.,2019-10-21,0
1743116909-129,TA,5.8,the air conditioner isn't cool.. and the picture they give for promotion isn't as good as the reality,2019-10-20,3
1743116909-130,MR,8.5,"nice place, comfort, nice pool and roof top, good location, clean room",2019-10-19,1
1743116909-132,IM,5.9,Room is good but service so bad. Thanks.,2019-10-15,0
1743116909-133,CL,7.2,"What I love about this place is strategic location and bathtub which is so good. But I can't sleep all night because of the noise (singing of sinden and gamelan who is very loud and noisy, I don't know where the sound is come from), but it is became nightmare for me. I can't relaxed at all. The breakfast is good with much variation. They provide buffet breakfast so it is worth it. There is mini market near there so you don't need to worry if you ever need something. The amenities is complete, but the bottle is so hard. It is difficult to press the shampoo to be out from the bottle.",2019-10-13,1
1743116909-134,EF,9.7,"Stay for business trip it was great, bathroom was so big. Everything good.",2019-10-12,1
1743116909-135,AD,8.5,the room was awesome.. it has bathtub and the room was large.. breakfast was delicious and have many menus..,2019-10-10,0
1743116909-136,HM,4.9,room too poor not matching with pictures when I booking I booked to my friend 4 nights from 29 September but he stayed just one night and left 3 nights moved to other hotel 😑,2019-10-08,3
1743116909-137,PH,8.5,"Overall was good. The room clean, the pool at the rooftop was awesome",2019-10-07,3
1743116909-138,MA,9.4,"The hotel room was amazing, the housekeeper was very friendly, the breakfast buffet has a lot of option. But, they didn't give us any mineral water or slipper. I don't know whether they forgot to put it or it is their standard. Fortunately, there are indomaret and alfamart near the hotel.",2019-10-06,0
1743116909-139,jd,6.4,breakfast must waiting staff to refill and look like the staff not prepare it well.. but overall not bad lah..,2019-10-06,1
1743116909-140,a,6.0,Location is good. breakfast is delicious. but you need to secure your stuff because door lock is easy to break. bathtub is good but lot of mosquitoes. shower is broken. we are staying for 1 night and we will never comeback to this place.,2019-10-01,0
1743116909-141,Agus H.,10.0,"short escape, this hotel very strategic, nearby shopping centre and movie theatre. just only the staff at front office upon check in not even smile, but it's okay for me.",2019-09-29,0
1743116909-142,Muhamad R.,9.4,"Love!! the rooms are clean, comfy, and I was like in a 5 star hotels with a great facilities.",2019-09-24,0
1743116909-144,Torry J.,9.7,Been staying here 4 times and always satisfied! Best value of money,2019-09-19,0
1743116909-145,Ooi L. I.,8.4,"All was great. only thing is, there happened to be prayers everyday from morning to night. so you can't really stay in room. nice room and great location. service was okay.",2019-09-17,0
1743116909-146,SD,10.0,"Me and my wife stayed in Mega Boutique Hotel & Spa only for 1 night :( I choose this place because only 5 minutes driving to airport and my wife prefer stay close shopping center (R.I.P my wallet) I thought this place was like basic city hotel. all simple but I was totally wrong. Mega Boutique Hotel & Spa have beautiful interior. I felt I was not in the building, difficult to write how beautiful construction & exterior. the staff was friendly and helpful they always keep smiling. the amenities are great, clean room, nice bathroom (clean, water heater working good, high pressure), bath tube area is my favorite spot, unfortunately I can't find remote tv in bath tube area (I don't need it but I would like to try chill there and see a TV ""i know I'm strange"") hahaha I love the roof top. beautiful area there. gym, spa and pool are ""WOW"" Breakfast is delicious. This place really Great Boutique Hotel. I would like to stay next trip. 10/10",2019-09-17,2
1743116909-148,ca,8.5,"I think overall excellent, the room is so comfortable, but the pillow a little smell. but overall TOP!",2019-09-12,0
1743116909-150,MK,10.0,"Thanks MegaBoutique Hotel you make my honeymoon trip unforgetable, kamar nyaman sekali, especially bathtub and big bathroom, breakfast also have many kinds of vatiant menu",2019-09-04,2
1743116909-152,RS,9.4,Nyaman banget. thanks for free upgrade room nya 😊,2019-09-01,0
1743116909-155,DL,9.1,"Recommended! Warm staff, clean room, nice food",2019-08-28,0
1743116909-161,Aris K.,6.0,the rooms are dark and the rooms are very dirty lots of dust. I think no maintenance....,2019-08-05,2
1743116909-166,JI,8.5,"Even though it's little dark because they didn't turn on all the light at noon, but the room especially the bath room is so great. The breakfast is delicious too.",2019-07-25,2
1743116909-167,TS,8.5,This hotel is recommended for traveller who seek for comfort. They provide bathub in every room. They have good breakfast with extra ice cream for dessert. We stay for 8 days in here. Looking forward for my next visit.,2019-07-24,1
1743116909-168,TS,6.4,"Scary... Good for honeymoon couple, not for business...",2019-07-23,0
1743116909-170,MH,6.2,"When I know that the hotel is 4star, my expectation is high. But for my opinioin, its not like a 4star hotel.",2019-07-15,0
1743116909-172,AL,9.7,"We have nice stayed at this hotel for 3 days, very cool bedroom and big bathroom.",2019-07-10,1
1743116909-173,WAHYUNI S.,9.1,Great service! We had special decor and free cake! Breakfast is so yummy we got a free ice cream,2019-07-08,0
1743116909-175,HP,8.5,Perfect for stay and not too expensive.,2019-07-04,0
1743116909-177,Okke Y.,5.8,"deluxe suite room supposed to be better room, with outside view window with much outside lighting. but stayed in 2nd floor (2nd floor means going down, their lobby consider 3rd floor) are very uncomfortable, low ambient light, no outside window, the environments are very dark. the acoustic room are terrible, especially when kids running above your floor, the hot water are not that hot, the pillow are smelly. the breakfast buffet also not that good (egg station always empty, you need to wait)",2019-07-04,0
1743116909-178,AN,8.5,"Great place, easy checkin, room is ok, near shopping mall",2019-06-30,0
1743116909-179,Shyrlyn L. M. E.,8.5,"The room's so spacious and even the restroom is much bigger. The pool's clean and big as well. I'd love to go back again. The only recommendation I can say is to put air freshener or spray in the room so it will be well-scented. I'm not sure where it is coming from, but there's an annoying smell in the room.",2019-06-27,0
1743116909-182,Y,8.3,Everything was okay. Location is okay. Swimming pool was great,2019-06-10,1
1743116909-183,ST,9.7,Room was clean and cozy. We also get the bathtub which is rarely at this kind of hotel in Bali. Only took 10 minutes if you want to go to the nearest shopling center. It is pretty awesome place to stay at that kind of price.,2019-06-09,0
1743116909-184,MY,5.1,"Dirty bed, bed linen might not be replaced. Along with a pillowcase. Getting itchy on the bed before sleep. Then calling room service to replace the bed linen",2019-06-07,3
1743116909-186,JE,8.5,We had the best of our stay at Mega boutique hotel and spa. We love the food and their friendly staffs.,2019-05-14,0
1743116909-187,DP,8.5,"Good enough for us. Cheap, not bad.",2019-05-09,2
1743116909-188,eveline y.,8.5,"The bathroom was spacious, my daughter love it. The bed was comfortable too, but I dissappointed with the refrigerator, it was warm, not cooling at all, so maybe they will notice this, thanks.",2019-05-05,2
1743116909-189,Aldi H. T. S.,4.8,The staff is not helpfull and the room is fucking stinky and dirty. The food below standard of 4 stars hotel.,2019-05-03,1
1743116909-190,HM,8.4,"Hotel was great and breakfast is good, only the staff especially the front desk team was not friendly at all and they give us room next to the pantry so very noisy when the breakfast start",2019-05-01,1
1743116909-192,EP,8.8,"The room very nicely. Food delicious. Pool it's awesome, but the water it's so itchy",2019-04-28,1
1743116909-193,N,8.5,"Hotel was ok. Foods excellent, only staff at the front desk not friendly. Check in take longer. I arrived here at 1 pm they said. Only can check in at 2 pm. I should waiting.",2019-04-27,1
1743116909-194,BJ,8.5,This hotel is good ambiance for couples who wants to honeymoon & staycation. But the hotel is far away from the beach. Lightning at the hotel especially at the room was so low. The bathroom was awesome. 😍😍,2019-04-26,1
1743116909-196,AA,5.9,"I stayed there for a day, the room’s not ready when I got there, the TV remote is broken and there were dead insects on the floor. It’s quite disappointing. The breakfast taste okay but can be more improved.",2019-04-25,3
1743116909-197,MC,5.7,The room towel and blanket are smelly. Shower head and toilet bidet are leaking. And there is cockroach in the bathtub.,2019-04-22,1
1743116909-198,Handoko K. X.,6.4,"Just bad luck maybe the key card is not working, need to call the staff everytime you got back to your room, they will help open the room with master key, no spoon or tools to stir the coffee or tea, the room seems to be old, it does smell. The staffs are nice and quick in responding to our need. And also almost forget the ref isn't working, just fan no cool, useless in my opinion.",2019-04-22,0
1743116909-199,Andri K.,6.3,Very slow respond for preparing the room before check-in (I checked in at 14.30 local time). The refrigerator was not cold.,2019-04-22,1
1743116909-201,R,6.2,Very noisy. Sleep next to the main street. Bad noise isolation. Junior suite? More like a deluxe room.,2019-04-17,0
1743116909-202,RA,9.4,Recommended for long stay especially Junior Suite 👍🏻,2019-04-10,0
1743116909-204,JB,8.8,Good hotel with beautiful interior and facilities.. nice natural decoration at the center of the hotel.. it has also nice pool and small fitness center.,2019-04-02,1
1743116909-205,DS,5.8,"If you fancy a 1980s hotel then this is the hotel for you. Reading the review about the bad smell in the basement room, I upgraded my room to the fourth floor. Lo and behold, once you enter your room you will be taken back through your memory lane to the 80's. The room is dark, unpleasant, and very old. Never again.",2019-03-27,1
1743116909-206,KS,8.5,"Nice hotel, clean, recommended.",2019-03-26,0
1743116909-207,ma,8.5,"A good, comfy, clean and strategic place, you can't complain about the food, it's so tasty.",2019-03-26,1
1743116909-208,DG,9.7,I had a really great stay and it was one of the best and comfortable hotels ever!,2019-03-22,1
1743116909-212,F Rizky P.,9.7,"Elegant interrior, comfortable, nice budget for the best room ever !",2019-03-04,0
1743116909-214,Andre F. P. H.,9.1,I really love the super complete facilities in my super wide room and it is very worthy for the money I pay. The location is so strategic and it is close enough to the airport.,2019-03-01,0
1743116909-215,DP,9.1,Very very nice place to stay with affordable price!,2019-02-28,1
1743116909-216,T,8.5,"Overall stay is ok, with price I get is quite awesome. services ok and helpful so far, food ok but slightly pricey, hotel it self a bit old saw some area have mushy ceilling, some corner in the bathroom need bit attention, room a bit dark some light not work out and bed sheet looks worn out. Need maintenance and deep cleaning",2019-02-28,0
1743116909-217,YN,6.0,"We got a room at the 1st floor which was actually located underground. It was dark and smelled bad, like moldy smell. We asked to change the room, but they said twin bed room only on the first floor. It was bad experience.",2019-02-26,0
1743116909-218,E,9.7,"the deluxe room so awesome. The breakfast variants so delicious. The staff hotel so humble and helpful. Very recommended to stay here in Kuta, Bali. Thank you mega boutique hotel & spa for very good service. I will back again!",2019-02-25,0
1743116909-220,HN,9.4,I love this hotel so much. Very recomended👍🏿,2019-02-25,0
1743116909-221,Andrew C.,8.5,"Great room and location. Breakfast was ok, standard menu. Great view from the pool.",2019-02-23,0
1743116909-224,S,9.1,"the rooms is the same as in the photos, clean, breakfast is ok, but security is less active",2019-02-10,0
1743116909-225,HY,5.5,"Okay first thought after entering the room that it was very humid, even in the hall way was dense humid. And there were no real windows for circulation, even the fake windows were dirty. The receptionist forgot to update the wifi username and password in the hotel card key. So after trying several times I’ve called the operator, then realized that was the old password. Some of the furniture needs to be repaired. Some stain on the couch. Some bugs were found in the bathtub.",2019-02-06,0
